price,area,price_per_sqft,location,bhk,resale,furnished,school,security,carparking,hospital,playarea,liftavailable,vaastucompliant
180.0,1770,10169.49152542373,Bilekahalli,3,1,0,0,1,1,0,1,1,1
293.0,3012,9727.755644090306,Bilekahalli,4,0,0,0,1,1,0,1,1,1
227.99999,2370,9620.252742616034,Bilekahalli,3,0,0,0,1,1,0,1,1,1
32.0,700,4571.428571428572,other,1,1,0,0,0,0,0,0,0,0
110.0,1335,8239.700374531834,JP Nagar Phase 7,2,0,0,0,0,0,0,1,1,0
98.0,1690,5798.816568047338,Subramanyapura,3,0,0,0,0,0,0,1,1,0
425.0,4282,9925.268566090612,JP Nagar Phase 4,4,1,0,0,1,1,0,1,1,1
135.0,1500,9000.0,Sahakar Nagar,3,1,0,0,1,1,0,1,1,1
156.0,1880,8297.872340425532,JP Nagar Phase 7,3,0,0,0,0,0,0,1,1,0
189.0,1985,9521.410579345089,Sahakar Nagar,3,0,0,0,1,1,0,1,1,1
154.0,1795,8579.387186629527,Sahakar Nagar,2,0,0,0,1,1,0,1,1,1
123.0,1410,8723.404255319148,Sahakar Nagar,2,0,0,0,1,1,0,1,1,1
68.45999,1042,6570.056621880999,JP Nagar Phase 8,2,0,0,0,1,1,0,1,1,1
91.73,1408,6514.914772727273,JP Nagar Phase 8,3,0,0,0,1,1,0,1,1,1
94.71,1455,6509.278350515464,JP Nagar Phase 8,3,0,0,0,1,1,0,1,1,1
72.47,1105,6558.371040723982,JP Nagar Phase 8,2,0,0,0,1,1,0,1,1,1
55.99,1120,4999.107142857143,other,2,0,0,0,0,0,0,0,1,0
118.0,1345,8773.234200743495,Sahakar Nagar,1,0,0,0,1,1,0,1,1,1
48.15,1107,4349.59349593496,Horamavu,2,0,0,0,1,0,0,1,1,1
48.8,1122,4349.376114081996,Horamavu,2,0,0,0,1,0,0,1,1,1
50.5,1161,4349.698535745048,Horamavu,2,0,0,0,1,0,0,1,1,1
